"comicName","comicSummary","comicGrade"
"여기야! 헤드볼 빌리지","헤드볼친구들의대모험","9.05"
"마왕이 되는 방법","자유연재","9.83"
"예쁜 사나이","예쁜 사나이","9.58"
"쌍둥이부부일기","똑닮은 가족 일기","9.87"
"꿈무덤","꿈 속의 이야기","9.81"
"빨간 고백","돌아온 너에게","9.74"
"오늘밤 야식을 먹는다","오늘밤 야식 어때?","9.45"
"라떼는 말이야","흑역사 파티원 모집","9.71"
"일주일 지구체험","외계인과의 일주일","9.77"
"여캠 조수희","일상 스릴러","9.49"
"베트남 프렌즈 여행기","여행장려웹툰","9.86"
"정령왕즈","정령왕들이 조잘조잘","9.88"
"횡설수설 다이어리","40대 가장의 일상","9.33"
"나의 애니메이터 이야기","나는 애니메이터","9.45"
"할짝 심리학","심리학 겉핥기","9.88"
"조선귀변사","사도세자의 퇴마기","9.55"
"저승길잡이","이승과 저승의 경계","9.90"
"아케미아 아카데미","연금술사,학원물","9.86"
"너는 나의 나는 너의 수호천사","로맨스판타지","9.88"
"냥만연애툰","귀욤뽀짝 개그일상툰","9.53"
"나의 스위치 메이트","바디체인지 로맨스","9.89"
"52번지 몬스터","설렘살벌 로맨스릴러","9.71"
"여왕의 계절","시대극 판타지 웹툰","9.87"
"엑스트라 Z씨","Z씨의 발버둥","9.90"
"과한가족","조금 과한 그들","9.88"
"사랑하는 계절","자유연재","9.78"
"틈","틈을파고드는 이야기","9.85"
"검은유성우","동양풍 이능력물","9.83"
"웰시네 부부에세이","삶 그림에세이","9.59"
"천상대전","천상대전","9.87"
"별의아씨","-","9.59"
"검은 늑대","검은 늑대","9.87"
"현의 파편","소녀와 환상","9.76"
"무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.85"
"성장통 소나타","예체능 로맨스","9.89"
"엘카림이 들어줄게!","SF+판타지 액션.","9.78"
"팔재叭災","도사와 겨울아들","9.72"
"도담도담","두더지 모험 힐링","9.38"
"불편해요, 선배님!","캠퍼스 로맨스","9.90"
"데뷔하고 싶어요","아이돌연습생성장물","9.23"
"주말엔 보랏빛 향기","성장 로맨스","9.74"
"도와줘요 사신님!","인간 되기 싫어요","9.55"
"포-갓","열심히 일하는 신","9.89"
"바람따라 물따라","역사인물만화","9.74"
"안녕 톡톡","안녕하세요","8.94"
"너의 뒤에서","사랑따위...","9.53"
"남주만 9명?!","로맨스 판타지","9.67"
"무인도 Vlog","무인도 생존Vlog","8.83"
"양치기 소년","당신의 거짓말","9.79"
"가면","욕망 판타지","9.53"
"솔직히 말해서","로맨스판타지개그만화","9.69"
"옆집에 그녀가 산다","옆집의 특별한그녀!","9.62"
"중등 생활 보고서","현실 중딩 보고서","8.98"
"테이커","17살의 킬러","9.85"
"악마법소녀","마법과 내뱉은 말","9.89"
"그날, 우리들의 여름.","여고 육상 성장기","9.80"
"바람과 소원","꿈을 위해서라면","9.80"
"마법약사","포션장사하는 이야기","9.90"
"저는 용사님이 아닌데요!","마녀라고요!","9.69"
"내 매력에 퐁당","내 매력에 퐁당!","9.57"
"아파트용사","아싸인생 이세계로!","9.43"
"쏘 판타지","So fantasy","9.87"
"컷","NG없인 성장도없다","9.65"
"어느 남고생의 하루","말하는강아지가사실은","9.88"
"은해갑을깝치","은해갑/깝치을","9.24"
"악마의 육아일기","따뜻한 이야기","9.83"
"맛있는 남자","핥지마","9.88"
"목소리의 그늘","성우, 성장 로맨스","9.89"
"유진의 환상특급열차","유진의 여행기","9.89"
"킬러5","다섯 명의 킬러들","9.82"
"이 몸은 신이니라!","카이즈","9.61"
"룩앤미","아름다움의 가치","9.49"
"헬로사이공","따뜻한 이야기들","9.88"
"모야툰","모야의 일상","9.69"
"살문 (殺門)","살인과 관상","9.68"
"잠자던 숲속의 공주","잠자던 공주 귀환기","9.68"
"포도나무 소녀","포도나무","9.77"
"바람과 소원(구: 바람을 실은 메아리)","꿈을 위한 거짓말을","9.49"
"연기는 처음인데요?!","내가 연기천재였다니","9.79"
"좋운날","좋운날 보내셨나요?","9.90"
"여행 다운","TMI 여행일지","9.87"
"아빠 내일은 뭐하고 놀까?","조금은 특별한 아버지와 아들의 이야기","9.78"
"따뜻한 나의 코코","우리들을 위한 이야기","9.89"
"그날의 우리","우리들의 이야기.","9.77"
"이불 밖 달리기","저질체력인생과 운동","9.87"
"아무도 믿지마","두뇌 심리게임","9.82"
"하임의 서재","비블리오 판타지","9.89"
"언데드의사 김해골","던전의 몬스터의사 김해골","9.90"
